,,,,0,1,2,3,4,5,6,7,8,9,10
,,,m,NaN,-0.14710195458541200,0.2920576591299680,0.5122298002643420,0.6793201772933140,0.8015721642506310,0.876783646402554,0.9215353126296780,0.9399957142843110,0.9507427160028430,0.9571499479606100
,,tau,a,NaN,-0.08643237008082640,0.18695560235291600,0.3537240773405890,0.5022576278356860,0.6305027911636930,0.7235152444272770,0.7893026482539770,0.8300752973079450,0.8543720887693890,0.8695157367118970
,,,m,NaN,-0.14725249964778200,0.2007307151651430,0.3798749453597800,0.519477080852402,0.6359360575891600,0.7194586335643850,0.7879772813715880,0.8243504892385170,0.846766248119941,0.8611597613538340
,DUR,rho,a,1.0,0.3592503001320010,0.3142773687919160,0.3994175397019710,0.4402146209164710,0.49680428973695200,0.5462670891640420,0.6012782507258670,0.6363114051179120,0.659920677820823,0.6723355447295030
,,,m,NaN,0.0656346562738194,0.14210677322048200,0.4089703716541150,0.47101942121884500,0.5016706019134570,0.5386726016099270,0.5892149766893330,0.6297764937078990,0.6532313854409100,0.6619677625562940
,,r_s,a,NaN,-0.4827273216927010,-0.1406397651372230,0.29440498836343900,0.28936532166823700,0.42426944648727100,0.48932875731717300,0.5972834953910050,0.6950953251995520,0.7564747682335770,0.8003656917519990
,,,m,NaN,-0.5643822528889310,-0.06442279949901520,0.3347507510036290,0.3141475306600770,0.44447628071268100,0.4813399177970670,0.5729170855455220,0.6651338215425220,0.7237751339430000,0.7585947951736780
,,tau,a,NaN,-0.5067897840715480,-0.06918804307472430,0.2111603942256000,0.20239979134116500,0.31068607082304600,0.34832275109683000,0.43805855564336200,0.5213059855303350,0.5756775433105230,0.6197302896278560
,,,m,NaN,-0.5669119293990530,-0.00837421819291422,0.28041497381503000,0.2459908509213000,0.3637663050612730,0.37733440733227800,0.44959330373995800,0.522936666849307,0.5718144750781830,0.6041446159921300
,CPITCH x DUR,rho,a,1.0,-0.27860086088848200,0.056017351874090400,0.26979868565945700,0.34336094521276400,0.36643006954926000,0.42131280733092700,0.5421698431785840,0.6804374734501150,0.7713136706312650,0.810075518539251
,,,m,NaN,-0.41164498562311800,-0.003317797526029770,0.1677945516996290,0.24269231310267400,0.32543340035213700,0.4363587003681130,0.579135320749702,0.7096791154913970,0.7882960699137490,0.8210812980040260
,,r_s,a,NaN,-0.2272289602007880,0.33156838554624600,0.35795536299057900,0.4567901822407030,0.5312294130728760,0.585491291277053,0.6393974423729930,0.6817145634736300,0.7079787074652730,0.7322352457941510
,,,m,NaN,-0.212487203192666,0.30591822857704600,0.3704847202156990,0.4516168430795720,0.5357254980399170,0.6018500870570230,0.6585258279521130,0.6966966120031370,0.7219033020648980,0.7448171046780230
,,tau,a,NaN,-0.1594753542062830,0.2378009261980730,0.24999647309879600,0.31912333632379000,0.3790198357016790,0.42730812189326000,0.47613183355169300,0.5159168218793200,0.5423199732983290,0.567165673734164
,,,m,NaN,-0.15509200637862000,0.22874729374920100,0.27353947608214500,0.3324331918383170,0.3980141998216590,0.4554137949655330,0.5070906626450630,0.5429727544682700,0.5683436317015430,0.5938566792181410
